Title,Intro
题目：[1781750] 英语写作练习,"Title: The Beauty of My Hometown
Hometown is the place where we grew up and also the one that filled our childhood with laughters and expectations. However, many students have to go to college in faraway places, which makes them feel more attached to their hometown. Now that most universities have postponed the return date of their students for the new semester  because of the Novel Coronavirus epidemic, we are inviting you to write an essay of about 200 words to introduce your hometown, describing the  beauty of its landscape, or the anecdotes and enlightening experiences associated with it which impressed you most.

题目：我美丽的故乡
家乡是我们生长的地方，是家乡让我们的童年充满欢笑和希望。因为上大学的原因，很多学生远离家乡到外地求学，这让莘莘学子对家乡又多了一份情感与依恋。今年春节因为疫情的关系，大部分学校延后了新学期返校时间，那就让我们利用这个机会写一篇200个单词左右的英文短文来好好夸一夸自己的家乡，看看她到底美在什么地方，还有哪些让你印象深刻的美景、趣事、感悟、新知……

提交作业后，系统将自动批改打分。"
"题目：[1780571] What is the most important thing that individuals, businesses  or governments can do to ensure a sustainable future?",Follow these steps to make notes for your essay. Step 1: Choose the one most important action that can lead to a sustainable future. Step 2: Think of two reasons to support your opinion. Write a thesis statement and a topic sentence for each of your body paragraphs in the outline. Step 3: Add two examples or details that explain your reasons. Step 4: Note some ideas for your introductory paragraph. Step 5: Write a summary statement and add a final thought.
题目：[1780711] 电话留言条--营销192,"根据对话完成电话留言条（运用TF-3E-WC原则）A: Leisure and Business Travel, Lucia speaking. How may I help you?B: Can I speak to Charles, please？A: I‘ m afraid he's out to lunch. Can I take a message?B: Yes, please. My name is Dryden.A: That's D-R-Y-D-E-N, isn't it?B: That’s right. I'm ringing about a ticket to Hong Kong. Charles was getting me a reduced fare. Anyway he said this reduced fare was only available in December and I want to check that because I may not be coming back until January.A: Ok. I'll get Charles to call you back. Can you give me a connect number?B: I'm at work at the moment and the number here is 051-4488-2279.A: Right, we'll ring you back this afternoon.B: I'll be in the office until 6.A: Thank you very much."
题目：[1780606] 2020年广东省第七届联盟杯本科高校英语写作大赛【选拔赛】,"题目：题目自拟要求：As we all know, our planet is facing an unprecedented situation in relation to the sudden outbreak COVID-19. The pandemic is not just a public health crisis, but a serious worldwide disaster. Today every sector and individual have been involved in the global fight against COVID-19. Hellen Keller said, “Although the world is full of suffering, it is full also of the overcoming of it.” Write an essay of no less than 400 words to state your view on the famous saying. You are supposed to give a title to your essay and support your argument with specific evidence."
题目：[1780583] Friendships and flowers,Read the following topic sentence and develop it into a paragraph with words no  less than 130 words. Friendship is often compared to a flower.
题目：[1780717] 英语作业,朗读英语课本32~34页
题目：[1780579] 第二单元写作,作文不是电子档的这里补交
题目：[1781769] 【2020百万同题-大学】My View on Online Learning,"Technology has been playing an increasingly important role in teaching and learning due to its conveniences and flexibility. Recently, owing to the COVID-19 pandemic, technology is ever more widely used and becomes a necessary means of instruction, by which teachers around the world conduct their teaching and give instructions on a variety of platforms or through different tools. Some people embrace this change and like the new form of teaching very much while others are not fully prepared for it and a lot of problems arise. Please write an essay (100-500 words) about your view of online teaching and learning. You can support your views or explain the reasons with your own experiences.  长期以来，教育技术因其方便性和灵活性，在教学中正在发挥着越来越重要的作用。而最近因为新冠病毒疫情的突发，使技术的应用变得更为广泛和必不可少。教师使用各种网络平台或软件，将课堂搬到了网上。一些人非常喜欢这种新的教学方式，另一些人则没有完全准备好，导致许多问题的产生。请大家写一篇100-500词的文章，谈一谈自己对网络授课的看法。你可以用自己的亲身经历佐证你的观点或解释原因。（本科及以上学生建议150字以上，其他学生建议100字以上）*请不要抄袭题干，否则作文极可能因相似度高被判定为“抄袭”如果作文被老师推荐，将有更大的机会获得证书"
题目：[1780788] 翻译1701-1702 信函翻译作业,先生/女士台鉴：    现随信寄上竹雕目录表一份，请查收。我们的产品以优质著称。贵方如果试订一次货物，会确信我们的货物是一流的。我们以最合理的价格提供最高档的产品，希望能有机会为贵方服务。                                 此致/布鲁诺贸易公司
题目：[1780600] Travelling Experiences,作文要求
